gene_name,Accession,Description,logFC,pvalue,AveExpr,Control_abundance,Penta_abundance,hit_annotation,LipidProbe
SMARCE1,AAH07082.1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1 [OS=Homo sapiens]",-0.93,0.024262665,21.78247036136987,4966033.089,2248478.811,no hit,bf-GPI
"sarcoma antigen NY-SAR-16, partial [Homo sapiens]",AAO65164.1,"sarcoma antigen NY-SAR-16, partial [OS=Homo sapiens]",-0.93,0.529213828,18.171519815330328,300135.4431,290340.9329,no hit,bf-GPI
HBG1,P69891.2,RecName: Full=Hemoglobin subunit gamma-1; AltName: Full=Gamma-1-globin; AltName: Full=Hb F Agamma; AltName: Full=Hemoglobin gamma-1 chain; AltName: Full=Hemoglobin gamma-A chain [OS=Homo sapiens],-0.94,0.684665166,15.348635988112363,45538.5906,37912.07801,no hit,bf-GPI
BAB15422.1,BAB15422.1,unnamed protein product [OS=Homo sapiens],-0.94,0.340950119,18.823277827858988,300914.1572,626772.3469,no hit,bf-GPI
DDX24,NP_065147.1,ATP-dependent RNA helicase DDX24 [OS=Homo sapiens],-0.94,0.317122566,19.002577714980305,544603.0289,505848.1742,no hit,bf-GPI
DHODH,EAW59201.1,"dihydroorotate dehydrogenase, isoform CRA_d [OS=Homo sapiens]",-0.95,0.66401444,15.486731286897813,60440.25559,31393.14104,no hit,bf-GPI
"hCG1995701, isoform CRA_g [Homo sapiens]",EAW64004.1,"hCG1995701, isoform CRA_g [OS=Homo sapiens]",-0.95,0.002709285,22.84729347940399,10476165.54,4615968.465,no hit,bf-GPI
BAA92118.1,BAA92118.1,unnamed protein product [OS=Homo sapiens],-0.95,0.529648647,18.314245084125048,631327.3928,20551.79223,no hit,bf-GPI
cytochrome c oxidase subunit Va [Homo sapiens],AAA99220.1,cytochrome C oxidase subunit Va [OS=Homo sapiens],-0.95,0.097545608,20.15119746286136,1447789.452,881078.5859,no hit,bf-GPI
VPS26,AAF89954.1,vacuolar sorting protein 26 [OS=Homo sapiens],-0.95,0.453836221,18.507143095012967,492295.7847,252839.6237,no hit,bf-GPI
NME1-NME2,AAI07895.1,NME1-NME2 protein [OS=Homo sapiens],-0.95,1.68742e-6,26.380315677311643,121754828.7,52946540.86,no hit,bf-GPI
"SCIRP10-related protein variant, partial [Homo sapiens]",BAD96855.1,"SCIRP10-related protein variant, partial [OS=Homo sapiens]",-0.96,0.058097719,20.548388265068798,1492276.791,1574705.201,no hit,bf-GPI
NDUFS8,NP_002487.1,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial precursor [OS=Homo sapiens]",-0.96,0.178747484,19.70481724820406,890205.8236,818908.2346,no hit,bf-GPI
PGRMC2,O15173.1,RecName: Full=Membrane-associated progesterone receptor component 2; AltName: Full=Progesterone membrane-binding protein; AltName: Full=Steroid receptor protein DG6 [OS=Homo sapiens],-0.96,0.023494585,21.54841097253534,4175921.815,1958138.716,no hit,bf-GPI
HSPD1,ACM61990.1,"60 kDa chaperonin, partial [OS=Homo sapiens]",-0.96,0.112727435,19.91295247540953,1417647.624,556710.7814,no hit,bf-GPI
IRF2BPL,NP_078772.1,interferon regulatory factor 2-binding protein-like [OS=Homo sapiens],-0.97,0.28455557,19.51086384001882,988134.3941,505984.8272,no hit,bf-GPI
ATIC,XP_016859676.1,PREDICTED: bifunctional purine biosynthesis protein PURH isoform X1 [OS=Homo sapiens],-0.97,0.100444849,19.96899621817945,1357475.161,695089.4681,no hit,bf-GPI
TRAPPC3,NP_055223.1,Trafficking protein particle complex subunit 3 isoform 1 [OS=Homo sapiens],-0.97,0.292938659,19.416786948791678,900084.6159,499713.1198,no hit,bf-GPI
SSR4,NP_001191455.1,translocon-associated protein subunit delta isoform 1 precursor [OS=Homo sapiens],-0.97,5.76379e-4,23.153534377051592,12133072.36,6528075.277,no hit,bf-GPI
KRTHA8,CAA76390.2,type I hair keratin 8 [OS=Homo sapiens],-0.98,0.558943817,16.442348439090775,118125.3095,59977.21484,no hit,bf-GPI
BAF84666.1,BAF84666.1,unnamed protein product [OS=Homo sapiens],-0.99,0.06582113,20.298819448493013,2148882.476,430902.6011,no hit,bf-GPI
COPS5,EAW86930.1,"COP9 constitutive photomorphogenic homolog subunit 5 (Arabidopsis), isoform CRA_b [OS=Homo sapiens]",-0.99,0.279964549,19.508038743069747,948301.2139,542895.074,no hit,bf-GPI
PPP3CB,NP_001135825.1,serine/threonine-protein phosphatase 2B catalytic subunit beta isoform isoform a [OS=Homo sapiens],-0.99,0.558508719,16.142677566979124,93202.1977,51495.01109,no hit,bf-GPI
MGST2,NP_002404.1,microsomal glutathione S-transferase 2 isoform 1 precursor [OS=Homo sapiens],-0.99,0.558508719,16.110636597604252,94181.8436,47337.19214,no hit,bf-GPI
POLDIP3,EAW73266.1,"polymerase (DNA-directed), delta interacting protein 3, isoform CRA_c [OS=Homo sapiens]",-0.99,0.080142473,20.181462958311133,1898218.718,480021.409,no hit,bf-GPI
"activated RNA polymerase II transcription cofactor 4 variant, partial [Homo sapiens]",BAD92522.1,"activated RNA polymerase II transcription cofactor 4 variant, partial [OS=Homo sapiens]",-1,4.5335e-7,25.47891956809749,68637623.6,24891969.03,no hit,bf-GPI
CNPY2,NP_055070.1,protein canopy homolog 2 isoform 1 precursor [OS=Homo sapiens],-1,0.003537608,22.36127642953677,7029805.306,3745881.056,no hit,bf-GPI
CHIP,AAD33400.1,carboxy terminus of Hsp70-interacting protein [OS=Homo sapiens],-1,0.007437445,22.20709570666056,9069619.513,613870.7445,no hit,bf-GPI
rpl11,CAA55816.1,Ribosomal protein L11 [OS=Homo sapiens],-1,0.558508719,17.338513159250546,213972.2457,117496.4633,no hit,bf-GPI
N33,AAB18375.1,N33 protein form 1 [OS=Homo sapiens],-1.01,0.486141207,18.38358575233996,380175.0132,303800.7851,no hit,bf-GPI
SDR39U1,Q9NRG7.2,RecName: Full=Epimerase family protein SDR39U1; AltName: Full=Short-chain dehydrogenase/reductase family 39U member 1 [OS=Homo sapiens],-1.01,0.647216393,15.05686534875871,39552.60058,28618.1548,no hit,bf-GPI
CDA016 [Homo sapiens],AAG44670.1,CDA016 [OS=Homo sapiens],-1.01,0.042680499,20.478823525132675,1927361.301,995243.8988,no hit,bf-GPI
MAN1B1,EAW88347.1,"mannosidase, alpha, class 1B, member 1, isoform CRA_c [OS=Homo sapiens]",-1.01,0.453629216,18.398503999931005,481566.0473,209519.125,no hit,bf-GPI
RAB9A,NP_004242.1,Ras-related protein Rab-9A [OS=Homo sapiens],-1.02,0.529648647,17.734322105165546,235819.6623,200287.1815,no hit,bf-GPI
POLR2H,NP_001265627.1,"DNA-directed RNA polymerases I, II, and III subunit RPABC3 isoform 1 [OS=Homo sapiens]",-1.02,0.478655101,18.30961489856401,465135.4396,184654.958,no hit,bf-GPI
BIRC6,Q9NR09.2,RecName: Full=Baculoviral IAP repeat-containing protein 6; AltName: Full=BIR repeat-containing ubiquitin-conjugating enzyme; Short=BRUCE; AltName: Full=RING-type E3 ubiquitin transferase BIRC6; AltName: Full=Ubiquitin-conjugating BIR domain enzyme apollon; Short=APOLLON [OS=Homo sapiens],-1.02,0.3529184,18.68398182025465,526645.373,315658.8188,no hit,bf-GPI
NMD3,NP_001307156.1,60S ribosomal export protein NMD3 isoform 1 [OS=Homo sapiens],-1.03,0.539028233,17.49767304675249,248210.5961,121919.5316,no hit,bf-GPI
MRPS25,NP_071942.1,"28S ribosomal protein S25, mitochondrial [OS=Homo sapiens]",-1.03,0.260245039,19.12157773038581,730534.2743,410236.6854,no hit,bf-GPI
IFITM1,P13164.3,RecName: Full=Interferon-induced transmembrane protein 1; AltName: Full=Dispanin subfamily A member 2a; Short=DSPA2a; AltName: Full=Interferon-induced protein 17; AltName: Full=Interferon-inducible protein 9-27; AltName: Full=Leu-13 antigen; AltName: CD_antigen=CD225 [OS=Homo sapiens],-1.03,0.292938659,18.87351351164641,655008.3956,305549.8098,no hit,bf-GPI
NUDT16L1,XP_005255690.1,PREDICTED: protein syndesmos isoform X1 [OS=Homo sapiens],-1.03,0.38293068,18.57726311888926,558005.0294,224241.116,no hit,bf-GPI
"actin related protein 2/3 complex subunit 1A variant, partial [Homo sapiens]",BAD92296.1,"actin related protein 2/3 complex subunit 1A variant, partial [OS=Homo sapiens]",-1.04,0.008828165,21.928791830372216,5011596.5,2973020.798,no hit,bf-GPI
"ubiquitin-conjugating enzyme E2I (UBC9 homolog, yeast) [Homo sapiens]",AAP35656.1,"ubiquitin-conjugating enzyme E2I (UBC9 homolog, yeast) [OS=Homo sapiens]",-1.05,0.525656306,17.430957106537274,218209.3126,135194.2619,no hit,bf-GPI
AAAS764 [Homo sapiens],AAQ89073.1,AAAS764 [OS=Homo sapiens],-1.05,0.147166322,19.692862186375656,1142247.135,552762.6679,no hit,bf-GPI
RPS14,XP_016865173.1,PREDICTED: 40S ribosomal protein S14 isoform X1 [OS=Homo sapiens],-1.05,0.077094632,19.855931192527347,1296437.085,601408.5112,no hit,bf-GPI
WDR5,CAB66159.1,"hypothetical protein, partial [OS=Homo sapiens]",-1.05,0.233828067,19.16721180975988,700425.6839,477005.9063,no hit,bf-GPI
DKFZp686J1643,CAH10555.1,Hypothetical protein [OS=Homo sapiens],-1.06,0.525656306,16.229936176431202,80778.8653,72940.15662,no hit,bf-GPI
SPRYD4,Q8WW59.2,RecName: Full=SPRY domain-containing protein 4 [OS=Homo sapiens],-1.06,0.480403045,17.801470631581363,380769.0437,76115.66462,no hit,bf-GPI
PFDN4,NP_002614.2,Prefoldin subunit 4 [OS=Homo sapiens],-1.07,0.008005794,21.860370728624076,5681011.126,1933767.835,no hit,bf-GPI
"prosaposin variant, partial [Homo sapiens]",BAD93013.1,"prosaposin variant, partial [OS=Homo sapiens]",-1.07,0.416013183,18.38601362302284,396132.2279,288995.583,no hit,bf-GPI
NR3C1,NP_001019265.1,glucocorticoid receptor isoform gamma [OS=Homo sapiens],-1.07,0.506859215,16.58507317522754,146123.8909,50499.19221,no hit,bf-GPI
PODXL,AAI43319.1,PODXL protein [OS=Homo sapiens],-1.08,0.488898036,16.742722821587712,123851.3801,95475.45615,no hit,bf-GPI
BAG50859.1,BAG50859.1,unnamed protein product [OS=Homo sapiens],-1.08,0.502704756,16.582243274742886,66192.11347,130045.6641,no hit,bf-GPI
RANBP9,AAH52781.1,"RANBP9 protein, partial [OS=Homo sapiens]",-1.08,0.007460105,21.831278779583783,5150200.785,2312563.974,no hit,bf-GPI
dihydrolipoamide dehydrogenase-binding protein [Homo sapiens],AAB66315.1,Dihydrolipoamide dehydrogenase-binding protein [OS=Homo sapiens],-1.09,0.578342957,15.555185579774767,61355.91474,34939.90694,no hit,bf-GPI
DKFZp686H07150,CAD97986.1,Hypothetical protein [OS=Homo sapiens],-1.09,0.500750534,16.117065615329967,87583.51375,54567.57422,no hit,bf-GPI
VAMP3,XP_016858330.1,PREDICTED: vesicle-associated membrane protein 3 isoform X1 [OS=Homo sapiens],-1.09,0.018108832,20.87280350811908,3009039.324,831303.0581,no hit,bf-GPI
SNCA,XP_011530505.1,PREDICTED: alpha-synuclein isoform X1 [OS=Homo sapiens],-1.1,0.033494335,20.19593054924035,2024006.934,378202.5726,no hit,bf-GPI
"lectin, mannose-binding 2 variant, partial [Homo sapiens]",BAD96329.1,"lectin, mannose-binding 2 variant, partial [OS=Homo sapiens]",-1.1,0.04006163,20.032329826024565,1396253.675,748424.6188,no hit,bf-GPI
PKM,NP_001193725.1,pyruvate kinase PKM isoform c [OS=Homo sapiens],-1.1,0.195400096,19.544967015454123,869045.5602,660813.1785,no hit,bf-GPI
DHRS7,XP_016876857.1,PREDICTED: dehydrogenase/reductase SDR family member 7 isoform X1 [OS=Homo sapiens],-1.1,0.006633131,21.550540000242567,3682779.63,2460339.798,no hit,bf-GPI
CDKN2A,XP_011515977.1,PREDICTED: cyclin-dependent kinase inhibitor 2A isoform X1 [OS=Homo sapiens],-1.1,4.92986e-5,23.066943272905036,12415541.46,5158507.383,no hit,bf-GPI
CAA53059.1,CAA53059.1,unnamed protein product [OS=Homo sapiens],-1.11,0.456703191,17.640159118357133,350731.5707,57820.12612,no hit,bf-GPI
ARFGAP3,AAH05122.1,ADP-ribosylation factor GTPase activating protein 3 [OS=Homo sapiens],-1.12,0.548546471,15.579030803869589,65164.78677,32735.86227,no hit,bf-GPI
BAG61164.1,BAG61164.1,unnamed protein product [OS=Homo sapiens],-1.12,7.87745e-9,28.95855977088534,717255162.3,326083060.1,no hit,bf-GPI
POLR3C,NP_001290385.1,DNA-directed RNA polymerase III subunit RPC3 isoform 2 [OS=Homo sapiens],-1.13,0.335667582,18.45997599192942,498658.581,222509.4866,no hit,bf-GPI
P3H4,XP_006721703.1,PREDICTED: synaptonemal complex protein SC65 isoform X1 [OS=Homo sapiens],-1.13,0.183528297,19.41099382637167,829206.2038,564981.9332,no hit,bf-GPI
rab3-GAP regulatory domain [Homo sapiens],AAC35881.1,Rab3-GAP regulatory domain [OS=Homo sapiens],-1.14,0.14459977,19.604851715203903,1148777.886,445920.0146,no hit,bf-GPI
MIA3,XP_006711367.2,PREDICTED: melanoma inhibitory activity protein 3 isoform X1 [OS=Homo sapiens],-1.14,0.463239604,16.545829105477708,131581.4924,59765.15598,no hit,bf-GPI
ARPC5,NP_005708.1,actin-related protein 2/3 complex subunit 5 isoform 1 [OS=Homo sapiens],-1.14,0.005812237,21.543188089086403,3864394.35,2247499.638,no hit,bf-GPI
ATP6,AEP23663.1,ATP synthase F0 subunit 6 (mitochondrion) [OS=Homo sapiens],-1.14,0.176110463,19.138734747976745,745797.7837,408620.5993,no hit,bf-GPI
BAH13430.1,BAH13430.1,unnamed protein product [OS=Homo sapiens],-1.15,3.2988e-9,24.9782510884373,46166633.84,19938138.29,no hit,bf-GPI
BTF3L4,NP_689478.1,Transcription factor BTF3 homolog 4 isoform 1 [OS=Homo sapiens],-1.15,0.01331349,20.836144411813102,2508038.549,1235949.533,no hit,bf-GPI
PPP4R2,CAB93534.2,Protein phosphatase 4 regulatory subunit 2 [OS=Homo sapiens],-1.15,0.406659513,17.78970606798984,354771.8201,98402.33756,no hit,bf-GPI
TRIM56,NP_112223.1,E3 ubiquitin-protein ligase TRIM56 [OS=Homo sapiens],-1.16,0.002604017,21.928735018078324,7441528.705,542774.1707,no hit,bf-GPI
SNRPD2,NP_808210.2,small nuclear ribonucleoprotein Sm D2 isoform 2 [OS=Homo sapiens],-1.16,0.013361311,21.199992673675425,4095057.662,722907.9764,no hit,bf-GPI
RNH1,EAX02335.1,"ribonuclease/angiogenin inhibitor 1, isoform CRA_c, partial [OS=Homo sapiens]",-1.16,0.021989631,20.300517906771194,1514277.38,1068546.619,no hit,bf-GPI
YLPM1,P49750.3,RecName: Full=YLP motif-containing protein 1; AltName: Full=Nuclear protein ZAP3; AltName: Full=ZAP113 [OS=Homo sapiens],-1.16,0.506736069,15.69045347595601,73124.58422,32636.80273,no hit,bf-GPI
EIF2B5,AAH13590.1,"Eukaryotic translation initiation factor 2B, subunit 5 epsilon, 82kDa [OS=Homo sapiens]",-1.17,0.432515666,16.124789278952175,98899.74127,44014.4126,no hit,bf-GPI
STAMBP,NP_006454.1,STAM-binding protein isoform 1 [OS=Homo sapiens],-1.17,0.453836221,17.313953423331146,239498.6902,86375.01577,no hit,bf-GPI
PCYT2,NP_001171846.1,ethanolamine-phosphate cytidylyltransferase isoform 1 [OS=Homo sapiens],-1.17,0.421040639,17.565479635333666,268612.6692,119328.8428,no hit,bf-GPI
RPL23,AAH62716.1,Ribosomal protein L23 [OS=Homo sapiens],-1.18,1.60449e-9,24.23304556271732,29959607.46,9477367.649,no hit,bf-GPI
ribosomal protein L10 [Homo sapiens],AAA36583.1,Ribosomal protein L10 [OS=Homo sapiens],-1.18,0.006512724,21.33179215934266,3807931.545,1470918.155,no hit,bf-GPI
HIST1H3I,AAH66884.1,"Histone cluster 1, H3i [OS=Homo sapiens]",-1.18,8.25858e-10,26.914483774695334,177931197.4,75055059.64,no hit,bf-GPI
SMARCD1,EAW58120.1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1, isoform CRA_a [OS=Homo sapiens]",-1.19,0.424583753,16.230044344315075,97375.80386,56354.74377,no hit,bf-GPI
C16orf58,AAH09308.1,C16orf58 protein [OS=Homo sapiens],-1.19,0.43405905,16.90660900249894,137874.3165,107837.7194,no hit,bf-GPI
VAPA,NP_003565.4,vesicle-associated membrane protein-associated protein A isoform 1 [OS=Homo sapiens],-1.19,0.162815823,19.530925357923373,922054.147,592986.8028,no hit,bf-GPI
GNL2,NP_001310552.1,nucleolar GTP-binding protein 2 isoform 2 [OS=Homo sapiens],-1.19,0.057587808,19.715967052672113,1552936.466,169437.5778,no hit,bf-GPI
"PKCI-1-related HIT protein variant, partial [Homo sapiens]",BAD96302.1,"PKCI-1-related HIT protein variant, partial [OS=Homo sapiens]",-1.19,0.006429691,21.285888896986396,3816581.879,1296950.827,no hit,bf-GPI
acidic ribosomal phosphoprotein P1 [Homo sapiens],AAP68820.1,acidic ribosomal phosphoprotein P1 [OS=Homo sapiens],-1.2,4.09901e-10,26.50024922871682,124439014.7,65406309.91,no hit,bf-GPI
FKBP1A,AAI19733.1,Fkbp1a protein [OS=Homo sapiens],-1.21,0.020199681,20.073878923657123,1606033.306,601308.9692,no hit,bf-GPI
BAG35625.1,BAG35625.1,unnamed protein product [OS=Homo sapiens],-1.21,0.120007611,19.59578953040057,1106995.548,477716.7675,no hit,bf-GPI
SHINC-2 [Homo sapiens],AAQ03093.1,SHINC-2 [OS=Homo sapiens],-1.21,0.307494,18.15476120195494,353117.9137,230539.0635,no hit,bf-GPI
LOC388817,EAW61081.1,"peptidylprolyl isomerase A-like, isoform CRA_c [OS=Homo sapiens]",-1.22,3.84514e-10,27.704713378207444,369738163.3,67763535.57,no hit,bf-GPI
B-raf,AAC60592.1,"fusion protein, partial [OS=Homo sapiens]",-1.22,0.003443901,21.52336303731979,3998336.022,2030144.714,no hit,bf-GPI
G13,AAA74235.1,Guanine nucleotide regulatory protein [OS=Homo sapiens],-1.22,0.236809184,18.620251069049228,564271.9684,241633.4844,no hit,bf-GPI
LMNA,EAW52996.1,"lamin A/C, isoform CRA_a [OS=Homo sapiens]",-1.23,0.259393917,18.551443206224775,538869.0779,229501.7422,no hit,bf-GPI
PBK,NP_001265874.1,lymphokine-activated killer T-cell-originated protein kinase isoform 2 [OS=Homo sapiens],-1.24,0.508381687,15.05223148331696,45178.68426,22773.46128,no hit,bf-GPI
SRSF5,NP_001034554.1,Serine/arginine-rich splicing factor 5 [OS=Homo sapiens],-1.24,0.010045886,20.34525737465867,2036613.794,627561.1218,no hit,bf-GPI
LAMTOR1,NP_060377.1,ragulator complex protein LAMTOR1 [OS=Homo sapiens],-1.25,9.69017e-4,21.972868376357926,5792368.811,2439955.437,no hit,bf-GPI
MHC Class I region proline rich protein [Homo sapiens],AAB40147.1,MHC Class I region proline rich protein [OS=Homo sapiens],-1.26,0.50971454,14.276519834218709,20235.06789,19455.80951,no hit,bf-GPI
BAB15500.1,BAB15500.1,unnamed protein product [OS=Homo sapiens],-1.27,0.142423848,18.963533363955445,702902.7857,319500.7954,no hit,bf-GPI
ZFR,AAI37085.1,zinc finger RNA binding protein [OS=Homo sapiens],-1.27,0.004091185,20.76377544974351,2514995.784,1045817.728,no hit,bf-GPI
UTP15,NP_115551.2,U3 small nucleolar RNA-associated protein 15 homolog isoform 1 [OS=Homo sapiens],-1.27,0.369512813,16.907749667091323,173731.7231,72174.66146,no hit,bf-GPI
ADD1,NP_054908.2,Alpha-adducin isoform b [OS=Homo sapiens],-1.27,0.123779305,19.36611320076544,870379.7407,481104.446,no hit,bf-GPI
SMPD4,Q9NXE4.2,RecName: Full=Sphingomyelin phosphodiesterase 4; AltName: Full=Neutral sphingomyelinase 3; Short=nSMase-3; Short=nSMase3; AltName: Full=Neutral sphingomyelinase III [OS=Homo sapiens],-1.28,0.337590669,17.64836401141242,299566.749,111315.0821,no hit,bf-GPI
PFN1,XP_016880250.1,PREDICTED: profilin-1 isoform X1 [OS=Homo sapiens],-1.28,3.71998e-11,25.595038997285734,71501723.28,29867116.09,no hit,bf-GPI
WDR50,EAW94559.1,WD repeat domain 50 [OS=Homo sapiens],-1.29,0.165497992,18.766937430379834,755944.9154,136211.677,no hit,bf-GPI
H2BC20P,Q6DN03.3,PUTATIVE PSEUDOGENE: RecName: Full=Putative histone H2B type 2-C; AltName: Full=Histone H2B.t; Short=H2B/t [OS=Homo sapiens],-1.29,2.60036e-11,24.70364445248057,42504261.61,12142946.38,no hit,bf-GPI
FKBP3,XP_016876581.1,PREDICTED: peptidyl-prolyl cis-trans isomerase FKBP3 isoform X1 [OS=Homo sapiens],-1.3,0.004695996,20.581747218782073,1808720.643,1330004.394,no hit,bf-GPI
SNX12,Q9UMY4.3,RecName: Full=Sorting nexin-12 [OS=Homo sapiens],-1.31,0.002967647,20.892447186640897,2871193.474,1021796.468,no hit,bf-GPI
4-hydroxyphenylpyruvate-dioxygenase [Homo sapiens],AAC73008.1,4-hydroxyphenylpyruvate-dioxygenase [OS=Homo sapiens],-1.31,0.120663916,18.96105961893477,581148.5303,439503.4688,no hit,bf-GPI
CRABP2,NP_001869.1,Cellular retinoic acid-binding protein 2 [OS=Homo sapiens],-1.31,0.003105368,20.951117658404947,3088548.155,966022.3197,no hit,bf-GPI
PGK1,EAW98602.1,"phosphoglycerate kinase 1, isoform CRA_a [OS=Homo sapiens]",-1.32,0.110647041,19.44647745605421,754535.508,674368.3866,no hit,bf-GPI
LMFA1925 [Homo sapiens],AAQ88811.1,LMFA1925 [OS=Homo sapiens],-1.32,0.176110463,18.61626968263356,473851.1904,329833.2818,no hit,bf-GPI
H2AC18,NP_003507.1,Histone H2A type 2-A [OS=Homo sapiens],-1.32,8.19459e-12,29.187681824959878,813921327.2,408997775.2,no hit,bf-GPI
MRGBP,NP_060740.1,MRG/MORF4L-binding protein [OS=Homo sapiens],-1.32,0.341428773,17.283225746747956,255485.6945,63520.68433,no hit,bf-GPI
IGF2R,P11717.3,RecName: Full=Cation-independent mannose-6-phosphate receptor; Short=CI Man-6-P receptor; Short=CI-MPR; Short=M6PR; AltName: Full=300 kDa mannose 6-phosphate receptor; Short=MPR 300; AltName: Full=Insulin-like growth factor 2 receptor; AltName: Full=Insulin-like growth factor II receptor; Short=IGF-II receptor; AltName: Full=M6P/IGF2 receptor; Short=M6P/IGF2R; AltName: CD_antigen=CD222; Flags: Precursor [OS=Homo sapiens],-1.32,0.003156439,21.10565869330563,3785444.053,727566.4121,no hit,bf-GPI
BAG64608.1,BAG64608.1,unnamed protein product [OS=Homo sapiens],-1.33,0.103874726,19.391081812813137,814200.5265,560877.2705,no hit,bf-GPI
F5,AAA52424.1,coagulation factor V precursor [OS=Homo sapiens],-1.34,0.32405528,16.059202819069007,95534.73893,41027.85289,no hit,bf-GPI
KDM2A,NP_036440.1,Lysine-specific demethylase 2A isoform a [OS=Homo sapiens],-1.34,0.098778005,19.48409915310502,897672.8462,568983.2078,no hit,bf-GPI
RPA3,EAW93603.1,"replication protein A3, 14kDa, isoform CRA_a [OS=Homo sapiens]",-1.34,0.003000066,20.509333665361552,2140303.345,844767.3438,no hit,bf-GPI
BAH12514.1,BAH12514.1,unnamed protein product [OS=Homo sapiens],-1.34,1.58053e-6,22.87398284464725,11581105.34,3792826.532,no hit,bf-GPI
"acid phosphatase 1 isoform c variant, partial [Homo sapiens]",BAD93075.1,"acid phosphatase 1 isoform c variant, partial [OS=Homo sapiens]",-1.35,0.002922831,20.974410006380594,3029280.39,1091282.519,no hit,bf-GPI
BAF84919.1,BAF84919.1,unnamed protein product [OS=Homo sapiens],-1.36,0.092150414,19.392344681764847,648543.4193,727738.5846,no hit,bf-GPI
MAOB,AAH22494.1,monoamine oxidase B [OS=Homo sapiens],-1.37,0.312964125,16.2216314468868,110116.5659,42720.12981,no hit,bf-GPI
HAUS1,NP_612452.1,HAUS augmin-like complex subunit 1 [OS=Homo sapiens],-1.37,0.30790261,16.219446910218085,110104.2236,42501.22108,no hit,bf-GPI
SERPINE2,XP_005246698.1,PREDICTED: glia-derived nexin isoform X1 [OS=Homo sapiens],-1.37,0.292938659,17.51249123524263,273587.4862,100363.9076,no hit,bf-GPI
BAG50851.1,BAG50851.1,unnamed protein product [OS=Homo sapiens],-1.38,9.62577e-13,24.91596569123421,47593067.17,15718496.47,no hit,bf-GPI
CLLD7,AAK38372.1,CLLL7 protein [OS=Homo sapiens],-1.38,0.318567662,15.940944434775234,85832.23581,39982.76645,no hit,bf-GPI
DHX29,AAH56219.1,DEAH (Asp-Glu-Ala-His) box polypeptide 29 [OS=Homo sapiens],-1.39,0.001935353,20.40471571045429,972617.2735,1803651.303,no hit,bf-GPI
"hCG1640785, isoform CRA_a [Homo sapiens]",EAW48944.1,"hCG1640785, isoform CRA_a [OS=Homo sapiens]",-1.39,0.085426167,19.25027274144185,841230.5973,405979.2052,no hit,bf-GPI
CMYA1,EAW64573.1,"cardiomyopathy associated 1, isoform CRA_b [OS=Homo sapiens]",-1.39,0.18770722,18.436949005389344,514094.1822,195654.6307,no hit,bf-GPI
SBF1,EAW73540.1,"SET binding factor 1, isoform CRA_d [OS=Homo sapiens]",-1.4,0.287817185,16.588251933326703,142920.2932,54136.49646,no hit,bf-GPI
ELOB,NP_996896.1,elongin-B isoform b [OS=Homo sapiens],-1.4,0.079241489,19.47090586237691,1297896.197,155408.5864,no hit,bf-GPI
TOP3A,NP_004609.1,DNA topoisomerase 3-alpha isoform 1 [OS=Homo sapiens],-1.4,0.288878263,17.360409021824776,244234.7087,92303.08888,no hit,bf-GPI
COX5B,EAX01930.1,Cytochrome c oxidase subunit Vb [OS=Homo sapiens],-1.42,0.337590669,15.634112841132895,71066.93043,30643.83355,no hit,bf-GPI
BLOC1S2,NP_776170.2,biogenesis of lysosome-related organelles complex 1 subunit 2 isoform 1 [OS=Homo sapiens],-1.43,0.287817185,17.214580515720208,221769.1682,82413.94027,no hit,bf-GPI
BICD1,XP_011519114.1,PREDICTED: protein bicaudal D homolog 1 isoform X1 [OS=Homo sapiens],-1.44,0.357855032,15.437581694456776,32852.12891,55905.38848,no hit,bf-GPI
RPL30,EAW91769.1,"ribosomal protein L30, isoform CRA_a, partial [OS=Homo sapiens]",-1.45,6.20977e-11,23.767355242054336,14708178.87,13849101.22,no hit,bf-GPI
VPS13C,EAW77607.1,"vacuolar protein sorting 13C (yeast), isoform CRA_i [OS=Homo sapiens]",-1.45,0.279964549,17.326456739951112,237638.787,91071.42235,no hit,bf-GPI
PFN1,EAW90382.1,"profilin 1, isoform CRA_b [OS=Homo sapiens]",-1.45,0.135115491,18.61603918380536,612698.2616,190857.8165,no hit,bf-GPI
ANO10,XP_016862206.1,PREDICTED: anoctamin-10 isoform X1 [OS=Homo sapiens],-1.46,0.260621556,16.565639876971296,142220.617,51771.68473,no hit,bf-GPI
RBM3,NP_006734.1,RNA-binding protein 3 [OS=Homo sapiens],-1.46,9.29228e-6,22.2795953484994,6942044.213,3240504.275,no hit,bf-GPI
GLNC1,SAI82135.1,TPA: globin c1 [OS=Homo sapiens],-1.47,0.003321001,20.154258650386655,2025458.626,308356.175,no hit,bf-GPI
"hCG1984476, isoform CRA_b [Homo sapiens]",EAW87089.1,"hCG1984476, isoform CRA_b [OS=Homo sapiens]",-1.47,0.093239632,18.77369559214144,659156.7242,237188.8911,no hit,bf-GPI
SRI,NP_944490.1,sorcin isoform B [OS=Homo sapiens],-1.48,0.052287842,19.36689963586108,917522.8133,434698.2889,no hit,bf-GPI
