"accession","gene_symbol"
"BAD97000.1","acidic (leucine-rich) nuclear phosphoprotein 32 family, member A variant, partial [Homo sapiens]"
"NP_061895.3","TMX3"""
"NP_789782.1","CHMP4B"""
"XP_011522203.1","PAFAH1B1"""
"XP_006715869.1","SEPTIN7"""
"AAI07805.1","PSMC3"""
"BAD92220.1","DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3 variant, partial [Homo sapiens]"
"BAA92541.1","KIAA1303"""
"NP_001073867.1","ECPAS"""
"AAI14430.1","EIF3A"""
"BAH13365.1","unnamed protein product [Homo sapiens]"
"EAW81764.1","DYNC1H1"""
"AAH44580.1","KIAA0391"""
"XP_011512974.1","SERPINB6"""
"BAD96210.1","chaperonin containing TCP1, subunit 8 (theta) variant, partial [Homo sapiens]"
"BAA13383.1","KIAA0253"""
"AAF04307.1","COP9 complex subunit 7a [Homo sapiens]"
"BAA06338.1","glycyl tRNA synthetase [Homo sapiens]"
"NP_001032900.1","HSD17B10"""
"CAH18259.1","DKFZp686A0439"""
"ABP57734.1","POTE-2 alpha-actin [Homo sapiens]"
"BAG59593.1","unnamed protein product [Homo sapiens]"
"EAW68477.1","PSMA1"""
"NP_001123630.1","MYO1B"""
"NP_001317182.1","SCYL2"""
"Q16836.3","HADH"""
"BAG62619.1","unnamed protein product [Homo sapiens]"
"BAD92494.1","suppressor of Ty 5 homolog variant, partial [Homo sapiens]"
"XP_016885151.1","THOC2"""
"EAW69578.1","WDR18"""
"Q8ND30.3","PPFIBP2"""
"EAW64046.1","hCG1996542, isoform CRA_a [Homo sapiens]"
"AAH34488.1","ABCF1"""
"XP_016875215.1","PXN"""
"BAG61173.1","unnamed protein product [Homo sapiens]"
"BAA11338.1","proteasome subunit p42 [Homo sapiens]"
"BAG59669.1","unnamed protein product [Homo sapiens]"
"AAF00150.1","RAB14"""
"AAF86879.1","HAH-P"""
"NP_004604.2","TGM2"""
"CAO94662.1","CORO1C"""
"EAW59433.1","hCG1639857, partial [Homo sapiens]"
"NP_001269803.1","SMARCA1"""
"CAA66940.1","HR21spA"""
"BAF83589.1","unnamed protein product [Homo sapiens]"
"NP_005023.2","PLS3"""
"AAH21743.1","RPL18"""
"NP_002261.3","TNPO1"""
"NP_057367.1","AK6"""
"XP_016864710.1","ETF1"""
"NP_001167459.1","RABL6"""
"XP_011539410.1","UBR4"""
"NP_001118.3","AP1B1"""
"CAG33330.1","OXCT"""
"AAH66320.1","RPL13"""
"AAC50482.1","URO-D"""
"BAF82893.1","unnamed protein product [Homo sapiens]"
"NP_001335270.1","SDCBP"""
"EAW47614.1","MRPL18"""
"AEE02020.1","NF110b [Homo sapiens]"
"XP_016884163.1","GCAT"""
"AAD18085.1","BAT3 [Homo sapiens]"
"BAF84477.1","unnamed protein product [Homo sapiens]"
"XP_011528354.1","PITPNB"""
"BAD92998.1","special AT-rich sequence binding protein 1 variant, partial [Homo sapiens]"
"AAH68974.1","SF3B3"""
"XP_011522177.1","MYH10"""
"Q5SY16.1","NOL9"""
"NP_006261.1","RRAS"""
"BAG52262.1","unnamed protein product [Homo sapiens]"
"NP_001317137.1","USP47"""
"NP_001132929.1","BCAP31"""
"AAF09482.1","E2IG3"""
"AAQ96862.1","H_NH0022N19_gi18089094.sp_cds.1"""
"AAH14928.1","MINA"""
"AAD08675.1","WBSCR9"""
"XP_005245324.2","PLA2G4A"""
"NP_037368.1","ATXN10"""
"AAF01333.1","serum albumin precursor [Homo sapiens]"
"EAW64142.1","hCG28318, isoform CRA_b [Homo sapiens]"
"ALQ33380.1","ASL"""
"AAB32876.1","neuropolypeptide h3 [human, brain, Peptide, 186 aa]"
"NP_005875.1","PAK4"""
"AAH20620.1","NIT2"""
"AAI10545.1","NNT"""
"AAH68518.1","KCTD9"""
"EAW62054.1","hCG2045902, isoform CRA_a [Homo sapiens]"
"AAH11529.1","POP1"""
"AAQ13577.1","DHP protein [Homo sapiens]"
"AAQ88438.1","myosin phosphatase target subunit 1 variant 2 [Homo sapiens]"
"BAG60492.1","unnamed protein product [Homo sapiens]"
"NP_001257766.1","CRIP2"""
"AAH12197.1","RPL8"""
"BAD97217.1","nudix (nucleoside diphosphate linked moiety X)-type motif 4 isoform beta variant, partial [Homo sapiens]"
"NP_079087.3","CPSF7"""
"NP_061322.2","MATR3"""
"CAA28571.1","unnamed protein product [Homo sapiens]"
"NP_001337434.1","RARS2"""
"EAW61102.1","hCG18290 [Homo sapiens]"
"XP_011542811.1","GTF2E2"""
"CAI45986.1","DKFZp686M24262"""
"NP_733765.1","ATP2A2"""
"NP_001029366.1","EXOSC9"""
"EAW56368.1","SARS"""
"AAH08435.1","PRDX3"""
"BAD92471.1","Isoleucyl-tRNA synthetase, cytoplasmic variant, partial [Homo sapiens]"
"BAG35427.1","unnamed protein product [Homo sapiens]"
"NP_006627.2","MTHFD2"""
"NP_005817.1","HNRNPR"""
"BAA23987.1","ATP-dependent RNA helicase #46 [Homo sapiens]"
"NP_060708.1","AGK"""
"EAW57870.1","PTK9"""
"AAI10524.1","ERCC2"""
"AAC83410.1","epidermal cytokeratin 2 [Homo sapiens]"
"AAH93020.1","IDH1"""
"AAH68454.1","PDCD6IP"""
"EAW86682.1","PRKDC"""
"BAG37316.1","unnamed protein product [Homo sapiens]"
"AAC51142.1","RPP38"""
"NP_037423.2","CPSF1"""
"XP_011531569.1","ARIH2"""
"XP_016885689.1","LOC102724985"""
"AAB66581.1","SKB1Hs"""
"AAA65706.1","nuclear respiratory factor-2 subunit alpha [Homo sapiens]"
"AAH22853.1","UBA3"""
"NP_071413.1","GOLPH3"""
"XP_016875687.1","TMEM263"""
"NP_001317262.1","PTMS"""
"AAA60080.1","PGM1"""
"BAD96736.1","squamous cell carcinoma antigen recognized by T cells 1 variant, partial [Homo sapiens]"
"BAD96636.1","isocitrate dehydrogenase 2 (NADP+), mitochondrial precursor variant, partial [Homo sapiens]"
"AAH21934.1","PRR14"""
"AAH02360.1","EFTUD2"""
"EAW78207.1","SFRS10"""
"EAW49640.1","PDCD11"""
"BAF83870.1","unnamed protein product [Homo sapiens]"
"NP_112243.1","RAB1B"""
"EAW60768.1","FKBP10"""
"CAB82418.1","DKFZp762H157"""
"AAH08364.1","HNRPC"""
"Q9P2E9.4","RRBP1"""
"NP_060238.3","LRRC40"""
"CAG46621.1","PIR"""
"BAB14552.1","unnamed protein product [Homo sapiens]"
"BAB85019.1","unnamed protein product [Homo sapiens]"
"AEP23141.1","COX2"""
"NP_002907.1","RFC4"""
"XP_011535061.2","LGALS3"""
"XP_011522986.1","GIT1"""
"XP_005256407.1","GPS1"""
"AAV38495.1","proteasome (prosome, macropain) 26S subunit, non-ATPase, 10 [Homo sapiens]"
"EAW71676.1","SRM"""
"BAG64064.1","unnamed protein product [Homo sapiens]"
"NP_001275907.1","XRCC6"""
"NP_001389.2","ECH1"""
"XP_011512129.1","BOD1L1"""
"NP_660308.1","CCDC127"""
"AAH40143.1","RAB5B"""
"AAG44736.1","IRA1 [Homo sapiens]"
"EAW96781.1","ITGA5"""
"NP_001317237.1","DPF2"""
"BAD92238.1","H2A histone family, member V isoform 1 variant, partial [Homo sapiens]"
"NP_705718.1","CAMK1D"""
"NP_653337.1","NDUFAF7"""
"EAW70525.1","ATIC"""
"AAF16876.1","MTRR"""
"AAF18437.1","CHP1"""
"XP_011531792.1","DHX30"""
"NP_001122321.1","SMARCA4"""
"O60437.4","PPL"""
"Q5SRD1.2","TIMM23B"""
"BAG36228.1","unnamed protein product [Homo sapiens]"
"ALQ34299.1","HNRPLL"""
"NP_001104026.1","FLNA"""
"XP_011539949.1","INTS11"""
"BAG65046.1","unnamed protein product [Homo sapiens]"
"XP_016879315.1","RHOT2"""
"NP_065823.1","NUFIP2"""
"BAH12301.1","unnamed protein product [Homo sapiens]"
"AAO47001.1","gastric cancer multi-drug resistance protein variant [Homo sapiens]"
"XP_011541080.1","DCPS"""
"BAD92983.1","WD repeat-containing protein 1 isoform 1 variant, partial [Homo sapiens]"
"XP_005247514.1","MBNL1"""
"BAG60111.1","unnamed protein product [Homo sapiens]"
"NP_000909.2","P4HB"""
"BAD97283.1","cytoskeleton-associated protein 4 variant, partial [Homo sapiens]"
"BAD92636.1","glycerol-3-phosphate dehydrogenase 2 (mitochondrial) variant, partial [Homo sapiens]"
"CAB66585.1","DKFZp564L1962"""
"AAQ13612.1","MST089"""
"AAH24038.1","TUBB2C"""
"EAW62546.1","ANXA1"""
"AAA51681.1","AHCY"""
"BAA20782.4","KIAA0324"""
"BAD96827.1","protein kinase, interferon-inducible double stranded RNA dependent activator variant, partial [Homo sapiens]"
"AAP57630.1","UBE2H"""
"XP_011536034.1","CDK2"""
"EAW86999.1","RPL7"""
"BAF84382.1","unnamed protein product [Homo sapiens]"
"AAC60648.1","nucleoprotein interactor 1, NPI-1"""
"EAX10588.1","NOL5A"""
"CAB99248.1","Nogo"""
"BAD93051.1","ALPL protein variant, partial [Homo sapiens]"
"XP_016882391.1","GATAD2A"""
"EAW51557.1","NMT1"""
"EAW62076.1","hCG45299 [Homo sapiens]"
"NP_006800.2","TOMM34"""
"BAF84483.1","unnamed protein product [Homo sapiens]"
"P13645.6","KRT10"""
"BAA91822.1","unnamed protein product [Homo sapiens]"
"XP_005267442.1","NOP9"""
"BAG61974.1","unnamed protein product [Homo sapiens]"
"AAB48304.1","pinin [Homo sapiens]"
"Q9NZL4.1","HSPBP1"""
"NP_002565.1","PRDX1"""
"EAX00968.1","hCG23833, isoform CRA_b [Homo sapiens]"
"AAV38522.1","proteasome (prosome, macropain) subunit, alpha type, 5 [Homo sapiens]"
"NP_001288784.1","SAP30BP"""
"BAA36707.1","MTA1-L1"""
"EAW52998.1","LMNA"""
"EAX10206.1","CRNKL1"""
"CAA04632.1","nipsnap1"""
"AAH19315.1","NANS"""
"NP_001032248.1","ACOT9"""
"BAD92231.1","tripartite motif-containing 25 variant, partial [Homo sapiens]"
"AAA56777.1","LMP7"""
"NP_995314.1","NCKAP1"""
"NP_006101.1","CD2BP2"""
"NP_006824.2","COPS6"""
"Q04637.4","EIF4G1"""
"CAA80599.1","hnRNP G protein [Homo sapiens]"
"AAH00508.1","PSMB1"""
"AAQ13514.1","MSTP012 [Homo sapiens]"
"BAD93055.1","heat shock 70kDa protein 1A variant, partial [Homo sapiens]"
"P02533.4","KRT14"""
"BAD92034.1","Chromosome-associated kinesin KIF4A variant, partial [Homo sapiens]"
"XP_016867690.1","LAMB1"""
"AFA52005.1","KRT1"""
"BAA07892.3","KIAA0097"""
"NP_001153408.1","EBNA1BP2"""
"NP_004083.3","ECHS1"""
"AAF76859.1","chloride ion current inducer protein I(Cln) [Homo sapiens]"
"XP_011532966.1","CANX"""
"BAG52466.1","unnamed protein product [Homo sapiens]"
"AAF29081.1","HSPC117 [Homo sapiens]"
"NP_001131026.1","MCTS1"""
"NP_006752.1","YWHAE"""
"AAB34405.1","SB1.8/DXS423E"""
"XP_006723234.1","STRN4"""
"NP_002267.2","KRT19"""
"NP_863654.1","ACOT7"""
"AAI43346.1","POLR1A"""
"AAH96217.1","SERPINB10"""
"BAG65172.1","unnamed protein product [Homo sapiens]"
"XP_006718014.1","ANXA8"""
"NP_078974.1","SLC25A22"""
"BAD96932.1","actin-like 6A isoform 1 variant, partial [Homo sapiens]"
"EAW54015.1","ABCF2"""
"BAA91449.1","unnamed protein product [Homo sapiens]"
"XP_011520324.1","SLTM"""
"EAW84058.1","PIN1"""
"NP_006487.1","GNAI3"""
"NP_976035.1","POLR1C"""
"EAW86495.1","PFKP"""
"AAK77986.1","U4/U6 snRNP-associated 61 kDa protein [Homo sapiens]"
"BAB85014.1","unnamed protein product [Homo sapiens]"
"AIO10779.1","Bax"""
"AAB38382.1","p48 [Homo sapiens]"
"AAQ13495.1","FWP004 [Homo sapiens]"
"XP_005265952.1","HNRNPH1"""
"BAA92639.2","KIAA1401"""
"XP_011524074.1","THOC1"""
"NP_006825.1","RAB32"""
"AAC39791.1","RNPS1"""
"NP_031398.2","DDX42"""
"NP_003818.2","NAPA"""
"NP_056155.1","LARS2"""
"AAH50341.1","CAND1"""
"XP_016870502.1","SET"""
"XP_005265573.1","CAMK1"""
"AAP83791.1","HN1L"""
"AAC50292.1","FXR2"""
"AAQ13512.1","MSTP010 [Homo sapiens]"
"AAL05591.1","NAV1"""
"BAD92041.1","Adapter-related protein complex 3 delta 1 subunit variant, partial [Homo sapiens]"
"AAP94732.1","unknown [Homo sapiens]"
"NP_001132982.1","ECHDC1"""
"NP_061910.1","EXOSC4"""
"AAB47425.1","hMSH6"""
"EAW61662.1","G3BP"""
"AAD05029.1","WUGSC:H_DJ0728D04.2"""
"BAG38137.1","unnamed protein product [Homo sapiens]"
"AAH62339.1","ALKBH5"""
"NP_110438.1","MRPS26"""
"NP_001240837.1","AKR1C3"""
"AAD22034.1","thyroid hormone receptor-associated protein complex component TRAP150 [Homo sapiens]"
"XP_016857345.1","PSMD4"""
"NP_001257329.1","TUBA1A"""
"NP_004530.1","NARS1"""
"EAW62328.1","RAD50"""
"AAC41694.1","EPHX1"""
"EAW58957.1","RNF20"""
"CAA31838.1","unnamed protein product [Homo sapiens]"
"BAF83539.1","unnamed protein product [Homo sapiens]"
"CAG46459.1","PSME1"""
"BAC05327.1","unnamed protein product [Homo sapiens]"
"AAI51240.1","TBC1D4"""
"Q9Y679.1","AUP1"""
"AAO21313.1","lung cancer oncogene 7 [Homo sapiens]"
"Q04446.3","GBE1"""
"NP_066014.1","MOV10"""
"EAW80126.1","TAF15"""
"AAC41754.1","UQCRFS1"""
"NP_001254747.1","OSTC"""
"P39656.4","DDOST"""
"NP_065116.3","XPNPEP1"""
"XP_006719890.1","SMAD9"""
"NP_036269.1","DDAH1"""
"NP_115812.1","CHAMP1"""
"AAF89632.1","ARSDR1"""
"AAH08194.1","IPO13"""
"CAA07619.2","LKR/SDH"""
"XP_011525954.1","CDC37"""
"AAH51814.1","YWHAZ"""
"XP_005258803.1","CHMP2A"""
"Q6EEV4.1","POLR2M"""
"XP_011540617.1","PRPF38A"""
"NP_001333694.1","MYO18A"""
"NP_005722.1","ARPC2"""
"EAW83818.1","hCG1640852, isoform CRA_b [Homo sapiens]"
"P08574.3","CYC1"""
"NP_115737.1","THOC3"""
"NP_005262.1","GLUD1"""
"NP_002005.1","FKBP4"""
"NP_036220.1","PGLS"""
"XP_016873669.1","SSRP1"""
"AAA60245.1","RAB5"""
"XP_005266967.1","MTHFD1L"""
"AAH64370.1","PRPF8"""
"NP_001304106.1","CHCHD3"""
"O75400.2","PRPF40A"""
"BAC01738.1","IGK"""
"NP_001317366.1","PTPN11"""
"O60566.3","BUB1B"""
"EAW69227.1","SH3GL1"""
"AAD02058.2","CPRP1 [Homo sapiens]"
"NP_277040.1","SELENOI"""
"NP_001165131.1","CYB5R3"""
"AAQ75383.1","HSD-35 [Homo sapiens]"
"O94964.2","SOGA1"""
"NP_001303303.1","MDH1"""
"AAV88043.1","leukemia-associated protein, partial [Homo sapiens]"
"BAD92337.1","ribosomal protein L21 variant, partial [Homo sapiens]"
"AAH00297.2","HMGCS1"""
"XP_016876202.1","SLC7A1"""
"AAC52059.1","TXBP181 [Homo sapiens]"
"CAD97660.1","DKFZp686B146"""
"BAG58700.1","unnamed protein product [Homo sapiens]"
"CDI06890.1","MED4"""
"EAW56188.1","ATAD3A"""
"BAG54627.1","unnamed protein product [Homo sapiens]"
"BAG54666.1","unnamed protein product [Homo sapiens]"
"CAA46905.1","2-oxoglutarate carrier [Homo sapiens]"
"EAW99216.1","RCN2"""
"NP_001243572.1","LTA4H"""
"BAB70973.1","unnamed protein product [Homo sapiens]"
"XP_011507965.1","PPOX"""
"BAF85345.1","unnamed protein product [Homo sapiens]"
"XP_011514858.1","EIF4H"""
"EAW79931.1","PPP4C"""
"AAP81807.1","DnaJ domain protein [Homo sapiens]"
"NP_001316681.1","FAM136A"""
"AAL56011.1","very-long-chain acyl-CoA dehydrogenase VLCAD [Homo sapiens]"
"AAB01041.1","ribosomal protein L9 [Homo sapiens]"
"NP_001670.1","ATP1B3"""
"NP_002061.1","GNAI2"""
"AAA35564.1","alternative [Homo sapiens]"
"AAF62370.1","HECH"""
"XP_011526206.1","DAZAP1"""
"AAV38494.1","proteasome (prosome, macropain) 26S subunit, non-ATPase, 8 [Homo sapiens]"
"XP_006718110.1","GBF1"""
"CAD22344.1","PLINP-1"""
"AAH09408.1","CTPS"""
"AAQ13671.1","MST145"""
"AAH98269.1","RAP1GDS1"""
"CAA88834.1","orf"""
"AAH68602.1","SUCLG2"""
"AAD27735.1","CGI-26 protein [Homo sapiens]"
"BAD97149.1","carbonyl reductase 3 variant, partial [Homo sapiens]"
"AAH64421.1","C2orf29"""
"NP_001186793.1","BCL2L2-PABPN1"""
"ABP96841.1","SET, partial [Homo sapiens]"
"AAI17415.1","DIAPH2"""
"AAF29112.1","HSPC148 [Homo sapiens]"
"XP_005261192.1","PFKL"""
"NP_003592.3","SMARCA5"""
"BAF85610.1","unnamed protein product [Homo sapiens]"
"O60678.3","PRMT3"""
"EAW62348.1","P4HA2"""
"AAM12624.1","RALA"""
"NP_003960.1","UBE2M"""
"CAA37064.1","TCP1"""
"NP_001026866.1","PLD3"""
"AAH66926.1","RPS3A"""
"NP_112533.1","HNRNPA2B1"""
"AAA09035.1","HSJ1"""
"AAC78609.1","epsin 2b [Homo sapiens]"
"EAW73550.1","BC002942"""
"AAF25479.1","nudix hydrolase NUDT5 [Homo sapiens]"
"AAH11719.1","TMEM43"""
"AAH15130.1","CYCS"""
"EAW87706.1","AK1"""
"NP_002547.1","OSBP"""
"NP_001008709.1","PPP1CA"""
"BAC11519.1","unnamed protein product [Homo sapiens]"
"Q15274.3","QPRT"""
"AAH14961.1","CMPK1"""
"CAA57764.1","TSA"""
"BAA08909.1","RPD3 protein [Homo sapiens]"
"XP_011527866.1","LSS"""
"XP_011507514.1","BROX"""
"BAB14802.1","unnamed protein product [Homo sapiens]"
"XP_016872264.1","PRXL2A"""
"AAC50512.1","NAGLU"""
"AAA79948.1","fus-like protein, partial [Homo sapiens]"
"BAG60258.1","unnamed protein product [Homo sapiens]"
"XP_005257516.1","ATP6V0A1"""
"BAA20562.1","PKU-beta [Homo sapiens]"
"NP_001269210.1","PYCR1"""
"NP_001186600.1","CALU"""
"BAC11666.1","unnamed protein product [Homo sapiens]"
"BAA05647.1","proteasome subunit HsN3 [Homo sapiens]"
"CAG33214.1","PSMA3"""
"CAH18166.1","DKFZp779L0468"""
"AAB35211.1","ornithine aminotransferase, OAT [human, gyrate atrophy of the choroid and retina (GACR) patient, Peptide Mutant, 439 aa]"
"NP_055577.1","DHCR24"""
"NP_001407.1","EIF4A1"""
"NP_001335116.1","DDX27"""
"NP_001900.1","CTSD"""
"XP_011512318.2","RAI14"""
"NP_006347.1","ATP5PD"""
"NP_001238968.1","RAB5C"""
"NP_001035787.1","UEVLD"""
"NP_001034702.1","IAH1"""
"AAI05803.1","FTH1"""
"NP_001036816.1","TPM3"""
"XP_011507706.1","TOR1AIP1"""
"NP_005497.1","SCARB2"""
"BAD96709.1","capping protein (actin filament) muscle Z-line, alpha 2 variant, partial [Homo sapiens]"
"NP_001995.1","FDPS"""
"EAX03796.1","SNRPC"""
"NP_001335098.1","HDGFL2"""
"Q8NBJ7.2","SUMF2"""
"EAX11058.1","AGPS"""
"ABQ59035.1","MYH7"""
"NP_001273974.1","SH3GLB2"""
"AAF16937.1","PCL1"""
"NP_001295126.1","SSR3"""
"AAH48287.1","SEC63"""
"AEW26630.1","GSTT2"""
"BAD93162.1","Melanoma cell adhesion molecule variant, partial [Homo sapiens]"
"AAH44586.2","DHX8"""
"AAF36138.1","HSPC218 [Homo sapiens]"
"CAA27244.1","unnamed protein product [Homo sapiens]"
"AAH32330.1","LMAN1"""
"NP_002515.1","NRAS"""
"NP_064628.1","TOMM22"""
"CAD98095.1","DKFZp686O20169"""
"AAD00646.1","EBP1"""
"AAA21324.1","transcription factor LSF [Homo sapiens]"
"AAA60306.1","SC35"""
"NP_061141.2","UNC45A"""
"XP_005248611.1","ERBIN"""
"NP_112483.1","LAS1L"""
"AAD55447.1","CSA2"""
"AAA51828.1","HEXB"""
"BAA09924.1","FM1"""
"AAF67653.1","uncharacterized hypothalamus protein HTMP [Homo sapiens]"
"Q86XA9.2","HEATR5A"""
"NP_037425.1","TRA2A"""
"NP_219482.1","ZNF622"""
"AAD44500.1","homologous yeast-44.2 protein [Homo sapiens]"
"AAH43343.1","NUP107"""
"NP_066272.1","PDLIM1"""
"BAG70196.1","DDX5"""
"EAW71418.1","RBM8A"""
"AAH66309.1","TP53RK"""
"CAA09375.1","thioredoxin-like protein [Homo sapiens]"
"EAW63034.1","TXNL1"""
"EAW70572.1","hCG1644450 [Homo sapiens]"
"AAM48746.1","TBDN100"""
"BAF83568.1","unnamed protein product [Homo sapiens]"
"NP_001264069.1","ACTR3"""
"NP_008998.1","KAT7"""
"NP_001032726.1","BTF3"""
"NP_073568.2","NUCKS1"""
"EAW80876.1","SPTB"""
"AAA85658.1","ribosomal protein S5 [Homo sapiens]"
"AAH13902.1","FOXRED1"""
"AAA20993.1","NF45 protein [Homo sapiens]"
"NP_002818.1","PTPN1"""
"AAK01426.1","NUF2R [Homo sapiens]"
"EAW65019.1","IHPK1"""
"AAH50650.1","ABHD14B"""
"EAW72707.1","FAM50A"""
"ALQ34202.1","SIL1"""
"BAW34840.1","GALNT2"""
"AAD27775.1","30S ribosomal protein S7 homolog [Homo sapiens]"
"XP_011539174.1","ECE1"""
"EAW76674.1","PDAP1"""
"EAX05442.1","SCFD2"""
"BAB14913.1","unnamed protein product [Homo sapiens]"
"NP_056139.1","RRP8"""
"AAA80581.1","sdhB"""
"CAA46519.1","mki67"""
"AAA59203.1","GSTM1B"""
"BAF83097.1","unnamed protein product [Homo sapiens]"
"AAP88736.1","MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae) [Homo sapiens]"
"XP_016862903.1","SNX4"""
"Q9NX58.2","LYAR"""
"NP_006017.1","H1-10"""
"XP_005245285.1","PBX1"""
"BAH12140.1","unnamed protein product [Homo sapiens]"
"XP_005255285.3","CARHSP1"""
"EAW65344.1","ARF4"""
"AAH36123.1","SMAP1"""
"AAD17527.1","leucine aminopeptidase [Homo sapiens]"
"CAD97647.1","DKFZp686A1752"""
"XP_005262745.1","SEC24B"""
"EAX06658.1","hCG33036, isoform CRA_b [Homo sapiens]"
"EAW99514.1","MAT2A"""
"CAC14786.1","E4-DBP"""
"AAQ88953.1","ARTS-1 [Homo sapiens]"
"CAD97673.1","DKFZp686H13163"""
"NP_001101.1","ADAM10"""
"EAW68080.1","HSD17B12"""
"EAX05823.1","ANXA3"""
"AAC69625.1","U5 snRNP-specific 40 kDa protein [Homo sapiens]"
"EAW69525.1","CIRBP"""
"NP_919223.1","HNRNPA3"""
"Q5JTZ9.1","AARS2"""
"EAX05259.1","ANXA5"""
"AAP35904.1","caspase 2, apoptosis-related cysteine protease (neural precursor cell expressed, developmentally down-regulated 2) [Homo sapiens]"
"XP_005263429.1","LRBA"""
"EAW52412.1","NUCB1"""
"EAX04165.1","C6orf108"""
"AAF89953.1","VPS35"""
"AAB59447.1","PPOL"""
"AAI42964.1","SMARCD2"""
"NP_005558.1","LGALS3BP"""
"XP_011536691.1","NACA"""
"EAW63580.1","PPP2R2A"""
"EAW73223.1","SSX2IP"""
"EAX07268.1","PABPC4"""
"AAA16459.1","DNA polymerase alpha [Homo sapiens]"
"AAO37647.1","beta3-glycosyltransferase-like [Homo sapiens]"
"BAG58917.1","unnamed protein product [Homo sapiens]"
"BAA23644.1","vlacs"""
"EAW66757.1","GALNS"""
"XP_005257725.1","CHMP6"""
"NP_057185.1","NIP7"""
"XP_016858234.1","EIF2B3"""
"EAW63793.1","ASAH1"""
"AAA60287.1","RPS6"""
"BAC11563.1","unnamed protein product [Homo sapiens]"
"BAB18649.1","P/OKcl.14"""
"AAA67323.1","GBP-2"""
"BAD96962.1","pyridoxine 5'-phosphate oxidase variant, partial [Homo sapiens]"
"XP_005264337.1","HK2"""
"EAW84770.1","SFRS14"""
"NP_005991.1","TUBA4A"""
"XP_016858797.1","NUP35"""
"NP_006849.1","TMED1"""
"BAC87312.1","unnamed protein product [Homo sapiens]"
"BAG37798.1","unnamed protein product [Homo sapiens]"
"NP_073591.2","SFXN1"""
"AAQ89435.1","C20orf3 [Homo sapiens]"
"EAW80617.1","GNPNAT1"""
"AAA52132.1","CYP19"""
"AAC50825.1","CCNC"""
"AAH12604.1","RTCD1"""
"NP_001305855.1","RPE"""
"AAC97946.1","transcriptional coactivator p75 [Homo sapiens]"
"NP_001317201.1","CELF1"""
"BAG34717.1","unnamed protein product [Homo sapiens]"
"AAB40606.1","RIG-G"""
"NP_037460.2","PYCR2"""
"NP_001015509.1","PTRH2"""
"AAM15531.1","TAB182"""
"EAW98437.1","hCG1811879 [Homo sapiens]"
"AAH14271.1","ENG"""
"AAH34346.1","NUP93"""
"NP_005720.1","PPIF"""
"AAH22045.1","MRPS31"""
"EAW48128.1","HINT3"""
"AAT52212.1","cell growth inhibiting protein 40 [Homo sapiens]"
"XP_016884760.1","APOOL"""
"AAH70095.1","CPSF2"""
"AAQ13653.1","regulatory myosin light chain long version [Homo sapiens]"
"EAX05906.1","SEC31L1"""
"BAD20938.1","2-PDE"""
"AAP35882.1","proteasome (prosome, macropain) subunit, beta type, 7 [Homo sapiens]"
"BAG63909.1","unnamed protein product [Homo sapiens]"
"CAC85331.1","SOXN"""
"AAQ02693.1","transformation-related 9 [Homo sapiens]"
"BAB14300.1","unnamed protein product [Homo sapiens]"
"NP_004228.1","TRIP13"""
"Q12849.3","GRSF1"""
"NP_002856.1","RAB2A"""
"NP_003267.1","TMPO"""
"AAP97257.1","MO25-like protein [Homo sapiens]"
"AAB71393.1","DUT"""
"BAD96482.1","signal sequence receptor, alpha variant, partial [Homo sapiens]"
"NP_001013007.1","UBE2NL"""
"NP_001934.2","DSG2"""
"NP_001317531.1","MRPL37"""
"BAG65021.1","unnamed protein product [Homo sapiens]"
"NP_001612.1","AHR"""
"EAX05872.1","HNRPD"""
"XP_011542963.1","DOCK5"""
"AAP97224.1","GTP:AMP phosphotransferase [Homo sapiens]"
"ALQ33801.1","SURF1"""
"AAH18847.2","TALDO1"""
"Q9HC38.1","GLOD4"""
"XP_011532899.1","ERGIC1"""
"AEY99342.1","WNK1"""
"EAW69099.1","GTF2F1"""
"NP_690866.1","TIPRL"""
"EAW98311.1","hCG1782202, isoform CRA_a [Homo sapiens]"
"AAF14859.1","adrenal gland protein AD-003 [Homo sapiens]"
"AAC24947.1","prostate apoptosis response protein par-4 [Homo sapiens]"
"NP_057154.2","MRPS23"""
"CAA82315.1","cytokeratin 9 [Homo sapiens]"
"EAW69976.1","C1orf57"""
"NP_004256.1","FADS2"""
"BAH13305.1","unnamed protein product [Homo sapiens]"
"BAG35631.1","unnamed protein product [Homo sapiens]"
"AAN85571.1","class II beta tubulin isotype [Homo sapiens]"
"EAW50736.1","PQBP1"""
"BAD96732.1","microsomal glutathione S-transferase 3 variant, partial [Homo sapiens]"
"XP_011543439.1","PPP6R3"""
"EAW51131.1","RPL23A"""
"EAW99545.1","KCMF1"""
"XP_005267876.1","PPP2R5C"""
"AAH47240.1","HEATR2"""
"BAH13215.1","unnamed protein product [Homo sapiens]"
"EAW92950.1","HIP2"""
"XP_005264389.2","MSH2"""
"EAW49219.1","BCCIP"""
"EAW74433.1","AYP1"""
"AAH12745.1","RRP12"""
"NP_003963.1","BTAF1"""
"BAG52112.1","unnamed protein product [Homo sapiens]"
"NP_001035830.1","PGP"""
"NP_001137151.1","GSTK1"""
"NP_212133.1","TMEM205"""
"NP_001288169.1","ARHGDIA"""
