Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score MSPepSearch: MSPepSearch,# Peptides (by Search Engine): MSPepSearch,# Protein Pathway Groups,# Razor Peptides,Abundance Ratio: (Penta) / (Control),Abundance Ratio (log2): (Penta) / (Control),Abundance Ratio Adj. P-Value: (Penta) / (Control),Abundance Ratio Variability [%]: (Penta) / (Control),Abundances (Grouped): Control,Abundances (Grouped): Penta,Abundances (Grouped) CV [%]: Control,Abundances (Grouped) CV [%]: Penta,"Found in Sample: [S1] F1: Sample, Control, 1","Found in Sample: [S2] F2: Sample, Control, 2","Found in Sample: [S3] F3: Sample, Control, 3","Found in Sample: [S4] F4: Sample, Penta, 1","Found in Sample: [S5] F5: Sample, Penta, 2","Found in Sample: [S6] F6: Sample, Penta, 3",# Protein Groups,Modifications
FALSE,High,Master Protein,AAI07895.1,NME1-NME2 protein [OS=Homo sapiens],0,249.042,67,17,192,6,292,32.6,8.48,92233,17,0,16,0.516,-0.95,1.68742E-06,108.62,121754828.7,52946540.86,41.02,57.35,High,High,High,High,High,High,1,
FALSE,High,Master Protein,BAD96855.1,"SCIRP10-related protein variant, partial [OS=Homo sapiens]",0,18.95,17,2,7,2,172,18.9,5.69,2370,2,0,0,0.515,-0.96,0.058097719,128.03,1492276.791,1574705.201,78.68,65.77,High,Peak Found,Peak Found,High,Peak Found,High,1,
FALSE,High,Master Protein,NP_002487.1,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial precursor [OS=Homo sapiens]",0,10.542,15,3,8,3,210,23.7,6.34,4846,3,0,0,0.514,-0.96,0.178747484,120.69,890205.8236,818908.2346,25.66,12.24,High,High,High,High,Peak Found,High,1,
FALSE,High,Master Protein,O15173.1,RecName: Full=Membrane-associated progesterone receptor component 2; AltName: Full=Progesterone membrane-binding protein; AltName: Full=Steroid receptor protein DG6 [OS=Homo sapiens],0,29.257,30,5,23,5,223,23.8,4.88,9286,5,0,0,0.514,-0.96,0.023494585,96.41,4175921.815,1958138.716,103.01,24.5,High,High,High,High,High,High,1,
FALSE,High,Master Protein,ACM61990.1,"60 kDa chaperonin, partial [OS=Homo sapiens]",0.001,3.484,8,1,3,1,185,19.8,7.93,781,1,0,0,0.513,-0.96,0.112727435,109.33,1417647.624,556710.7814,58.28,114.77,High,Peak Found,Peak Found,High,Peak Found,Peak Found,1,
FALSE,High,Master Protein,NP_078772.1,interferon regulatory factor 2-binding protein-like [OS=Homo sapiens],0,10.105,5,2,2,1,796,82.6,8.24,1131,2,0,0,0.512,-0.97,0.28455557,64.13,988134.3941,505984.8272,84.71,81.23,Peak Found,High,Not Found,Peak Found,Not Found,Peak Found,1,
FALSE,High,Master Protein,XP_016859676.1,PREDICTED: bifunctional purine biosynthesis protein PURH isoform X1 [OS=Homo sapiens],0,267.072,61,28,235,1,557,61,7.03,106967,28,0,0,0.512,-0.97,0.100444849,27.24,1357475.161,695089.4681,13.57,23.53,High,High,High,High,High,High,1,
FALSE,High,Master Protein,NP_055223.1,Trafficking protein particle complex subunit 3 isoform 1 [OS=Homo sapiens],0,12.04,17,3,6,3,180,20.3,4.96,2263,3,0,0,0.512,-0.97,0.292938659,87.94,900084.6159,499713.1198,88.64,0.86,High,High,High,High,Peak Found,Peak Found,1,
FALSE,High,Master Protein,NP_001191455.1,translocon-associated protein subunit delta isoform 1 precursor [OS=Homo sapiens],0,33.852,29,4,39,4,184,20.2,5.81,19879,4,0,0,0.51,-0.97,0.000576379,44.96,12133072.36,6528075.277,23.29,32.9,High,High,High,High,High,High,1,
FALSE,High,Master Protein,CAA76390.2,type I hair keratin 8 [OS=Homo sapiens],0,10.645,4,2,8,1,456,50.5,4.84,5146,2,0,0,0.508,-0.98,0.558943817,99.76,118125.3095,59977.21484,155.7,70.85,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,1,
FALSE,High,Master Protein,BAF84666.1,unnamed protein product [OS=Homo sapiens],0,22.482,19,5,7,5,458,48.8,9.96,2321,5,0,0,0.505,-0.99,0.06582113,101.3,2148882.476,430902.6011,55.98,53.8,High,High,High,Peak Found,Peak Found,High,1,
FALSE,High,Master Protein,EAW86930.1,"COP9 constitutive photomorphogenic homolog subunit 5 (Arabidopsis), isoform CRA_b [OS=Homo sapiens]",0,12.024,15,4,5,4,379,42.6,9.35,1536,4,0,0,0.505,-0.99,0.279964549,88.4,948301.2139,542895.074,92.12,46.74,High,Peak Found,Peak Found,Peak Found,High,Peak Found,1,
FALSE,High,Master Protein,NP_001135825.1,serine/threonine-protein phosphatase 2B catalytic subunit beta isoform isoform a [OS=Homo sapiens],0,12.735,7,2,6,1,525,59.1,5.91,1784,2,0,0,0.504,-0.99,0.558508719,124.52,93202.1977,51495.01109,127.12,128.65,Not Found,Not Found,High,Not Found,Peak Found,Not Found,1,
FALSE,High,Master Protein,NP_002404.1,microsomal glutathione S-transferase 2 isoform 1 precursor [OS=Homo sapiens],0,5.906,10,1,2,1,147,16.6,9.55,614,1,0,0,0.503,-0.99,0.558508719,128.14,94181.8436,47337.19214,158.78,67.94,High,Not Found,Not Found,Not Found,Not Found,Not Found,1,
FALSE,High,Master Protein,EAW73266.1,"polymerase (DNA-directed), delta interacting protein 3, isoform CRA_c [OS=Homo sapiens]",0,9.099,9,2,4,2,482,52.6,10.13,727,2,0,0,0.502,-0.99,0.080142473,144.89,1898218.718,480021.409,91.39,116.93,Peak Found,High,Not Found,High,Not Found,Peak Found,1,
FALSE,High,Master Protein,BAD92522.1,"activated RNA polymerase II transcription cofactor 4 variant, partial [OS=Homo sapiens]",0,68.875,29,7,62,7,134,15.1,9.38,26074,7,0,0,0.501,-1,4.5335E-07,105.73,68637623.6,24891969.03,37.4,64.5,High,High,High,High,High,High,1,
FALSE,High,Master Protein,NP_055070.1,protein canopy homolog 2 isoform 1 precursor [OS=Homo sapiens],0,39.401,31,5,28,5,182,20.6,4.92,11284,5,0,0,0.501,-1,0.003537608,79.75,7029805.306,3745881.056,22.47,45.82,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AAD33400.1,carboxy terminus of Hsp70-interacting protein [OS=Homo sapiens],0,24.438,19,5,12,5,303,34.9,5.87,4363,5,0,0,0.501,-1,0.007437445,124.38,9069619.513,613870.7445,71.66,140.8,High,High,Peak Found,High,Peak Found,Peak Found,1,
FALSE,High,Master Protein,CAA55816.1,Ribosomal protein L11 [OS=Homo sapiens],0,19.041,13,2,9,2,178,20.1,9.55,5232,2,0,0,0.5,-1,0.558508719,106.58,213972.2457,117496.4633,171.3,171.94,High,Not Found,Peak Found,High,Not Found,High,1,
FALSE,High,Master Protein,AAB18375.1,N33 protein form 1 [OS=Homo sapiens],0,3.786,3,1,4,1,348,39.6,9.91,912,1,0,0,0.497,-1.01,0.486141207,86.43,380175.0132,303800.7851,92.47,46.08,Peak Found,Peak Found,Peak Found,High,High,High,1,
FALSE,High,Master Protein,Q9NRG7.2,RecName: Full=Epimerase family protein SDR39U1; AltName: Full=Short-chain dehydrogenase/reductase family 39U member 1 [OS=Homo sapiens],0,8.487,5,1,1,1,319,34.7,9.77,806,1,0,0,0.497,-1.01,0.647216393,101.49,39552.60058,28618.1548,111.16,71.57,Peak Found,High,Peak Found,Peak Found,Peak Found,Peak Found,1,
FALSE,High,Master Protein,AAG44670.1,CDA016 [OS=Homo sapiens],0,13.916,12,2,8,2,227,25.8,9.82,4976,2,0,0,0.496,-1.01,0.042680499,41.75,1927361.301,995243.8988,33.22,23.43,High,High,High,High,Peak Found,Peak Found,1,
FALSE,High,Master Protein,EAW88347.1,"mannosidase, alpha, class 1B, member 1, isoform CRA_c [OS=Homo sapiens]",0,10.398,5,2,2,2,702,79.6,7.25,766,2,0,0,0.495,-1.01,0.453629216,99.61,481566.0473,209519.125,95.01,28.26,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,1,
FALSE,High,Master Protein,NP_004242.1,Ras-related protein Rab-9A [OS=Homo sapiens],0,8.019,19,3,3,3,201,22.8,5.47,761,3,0,0,0.495,-1.02,0.529648647,85.6,235819.6623,200287.1815,74.29,48.1,High,High,High,Peak Found,Peak Found,Peak Found,1,
FALSE,High,Master Protein,NP_001265627.1,"DNA-directed RNA polymerases I, II, and III subunit RPABC3 isoform 1 [OS=Homo sapiens]",0,8.691,15,2,10,2,175,19.8,4.67,3783,2,0,0,0.494,-1.02,0.478655101,88.15,465135.4396,184654.958,26.95,29.08,High,High,High,High,Peak Found,High,1,
FALSE,High,Master Protein,Q9NR09.2,RecName: Full=Baculoviral IAP repeat-containing protein 6; AltName: Full=BIR repeat-containing ubiquitin-conjugating enzyme; Short=BRUCE; AltName: Full=RING-type E3 ubiquitin transferase BIRC6; AltName: Full=Ubiquitin-conjugating BIR domain enzyme apollon; Short=APOLLON [OS=Homo sapiens],0,9.303,1,3,4,3,4857,529.9,6.05,919,3,0,0,0.492,-1.02,0.3529184,69.95,526645.373,315658.8188,33.29,40.57,High,High,High,Peak Found,High,Peak Found,1,
FALSE,High,Master Protein,NP_001307156.1,60S ribosomal export protein NMD3 isoform 1 [OS=Homo sapiens],0.003,2.556,3,1,3,1,529,60.1,6.62,451,1,0,0,0.491,-1.03,0.539028233,57.13,248210.5961,121919.5316,124.62,40.27,Peak Found,High,Peak Found,Not Found,High,High,1,
FALSE,High,Master Protein,NP_071942.1,"28S ribosomal protein S25, mitochondrial [OS=Homo sapiens]",0,5.552,10,1,2,1,173,20.1,8.82,799,1,0,0,0.49,-1.03,0.260245039,24.7,730534.2743,410236.6854,26.77,30.7,Peak Found,Peak Found,Peak Found,High,High,Peak Found,1,
FALSE,High,Master Protein,P13164.3,RecName: Full=Interferon-induced transmembrane protein 1; AltName: Full=Dispanin subfamily A member 2a; Short=DSPA2a; AltName: Full=Interferon-induced protein 17; AltName: Full=Interferon-inducible protein 9-27; AltName: Full=Leu-13 antigen; AltName: CD_antigen=CD225 [OS=Homo sapiens],0,9.901,13,1,6,1,125,14,7.93,3028,1,0,0,0.489,-1.03,0.292938659,43.3,655008.3956,305549.8098,40.42,32.82,High,High,High,Peak Found,High,High,1,
FALSE,High,Master Protein,XP_005255690.1,PREDICTED: protein syndesmos isoform X1 [OS=Homo sapiens],0,4.042,13,2,2,2,261,27.2,9.1,318,2,0,0,0.488,-1.03,0.38293068,85.5,558005.0294,224241.116,36.75,55.31,High,Peak Found,Peak Found,High,Peak Found,Peak Found,1,
FALSE,High,Master Protein,BAD92296.1,"actin related protein 2/3 complex subunit 1A variant, partial [OS=Homo sapiens]",0,12.522,15,3,11,3,401,45,8.6,2103,3,0,0,0.487,-1.04,0.008828165,134.39,5011596.5,2973020.798,15.19,23.94,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AAP35656.1,"ubiquitin-conjugating enzyme E2I (UBC9 homolog, yeast) [OS=Homo sapiens]",0,14.655,20,3,4,3,184,20.4,8.46,1465,3,0,0,0.484,-1.05,0.525656306,109.43,218209.3126,135194.2619,163.15,42.82,High,Peak Found,Peak Found,Not Found,Not Found,Not Found,1,
FALSE,High,Master Protein,AAQ89073.1,AAAS764 [OS=Homo sapiens],0.001,3.034,6,1,2,1,269,28,5.86,253,1,0,0,0.484,-1.05,0.147166322,66.64,1142247.135,552762.6679,27.15,88.67,Peak Found,High,High,Peak Found,Not Found,Peak Found,1,
FALSE,High,Master Protein,XP_016865173.1,PREDICTED: 40S ribosomal protein S14 isoform X1 [OS=Homo sapiens],0,39.21,20,3,9,3,178,19.2,9.23,3901,3,0,0,0.483,-1.05,0.077094632,143.83,1296437.085,601408.5112,138.7,148.3,High,Peak Found,Peak Found,High,Peak Found,Peak Found,1,
FALSE,High,Master Protein,CAB66159.1,"hypothetical protein, partial [OS=Homo sapiens]",0,15.217,13,3,6,3,362,39.4,8.4,2682,3,0,0,0.481,-1.05,0.233828067,74.03,700425.6839,477005.9063,42.12,30.89,High,Peak Found,High,Peak Found,High,High,1,
FALSE,High,Master Protein,CAH10555.1,Hypothetical protein [OS=Homo sapiens],0,3.727,1,1,1,1,879,99.2,6.48,365,1,0,0,0.481,-1.06,0.525656306,91.02,80778.8653,72940.15662,163.1,52.86,High,Not Found,Not Found,Not Found,Not Found,Not Found,1,
FALSE,High,Master Protein,Q8WW59.2,RecName: Full=SPRY domain-containing protein 4 [OS=Homo sapiens],0,6.772,13,1,4,1,207,23.1,6.93,1245,1,0,0,0.479,-1.06,0.480403045,119.59,380769.0437,76115.66462,59.57,98.9,High,Peak Found,High,High,Not Found,Peak Found,1,
FALSE,High,Master Protein,NP_002614.2,Prefoldin subunit 4 [OS=Homo sapiens],0,38.009,34,6,31,6,134,15.3,4.53,11562,6,0,0,0.478,-1.07,0.008005794,99.32,5681011.126,1933767.835,28.08,83.03,High,High,High,High,High,High,1,
FALSE,High,Master Protein,BAD93013.1,"prosaposin variant, partial [OS=Homo sapiens]",0,9.904,9,2,4,2,530,58.7,5.1,1249,2,0,0,0.477,-1.07,0.416013183,126.49,396132.2279,288995.583,59.58,27.83,Peak Found,High,Peak Found,High,High,Peak Found,1,
FALSE,High,Master Protein,NP_001019265.1,glucocorticoid receptor isoform gamma [OS=Homo sapiens],0.001,2.93,2,1,2,1,778,85.8,6.49,392,1,0,0,0.476,-1.07,0.506859215,58.23,146123.8909,50499.19221,48.45,52.38,Not Found,Peak Found,Peak Found,Peak Found,High,Peak Found,1,
FALSE,High,Master Protein,AAI43319.1,PODXL protein [OS=Homo sapiens],0.001,2.856,2,1,2,1,560,58.8,5.49,600,1,0,0,0.474,-1.08,0.488898036,74.6,123851.3801,95475.45615,150.03,37.45,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,1,
FALSE,High,Master Protein,BAG50859.1,unnamed protein product [OS=Homo sapiens],0,14.772,8,4,5,4,1000,111,5.45,1369,4,0,0,0.473,-1.08,0.502704756,134.89,66192.11347,130045.6641,154.46,80.2,High,Not Found,Not Found,Peak Found,High,High,1,
FALSE,High,Master Protein,AAH52781.1,"RANBP9 protein, partial [OS=Homo sapiens]",0,5.357,2,1,2,1,802,86.5,8.53,736,1,0,0,0.471,-1.08,0.007460105,28.24,5150200.785,2312563.974,25.18,31.19,Peak Found,Peak Found,Peak Found,Peak Found,High,Peak Found,1,
FALSE,High,Master Protein,AAB66315.1,Dihydrolipoamide dehydrogenase-binding protein [OS=Homo sapiens],0.001,2.89,2,1,1,1,501,54.1,8.43,290,1,0,0,0.471,-1.09,0.578342957,98.23,61355.91474,34939.90694,127.74,75.43,High,Not Found,Not Found,Not Found,Not Found,Not Found,1,
FALSE,Medium,Master Protein,CAD97986.1,Hypothetical protein [OS=Homo sapiens],0.016,1.519,2,1,1,1,498,55.6,8.82,205,1,0,0,0.471,-1.09,0.500750534,48.39,87583.51375,54567.57422,21.8,73.77,Not Found,Peak Found,High,Peak Found,Not Found,Peak Found,1,
FALSE,High,Master Protein,XP_016858330.1,PREDICTED: vesicle-associated membrane protein 3 isoform X1 [OS=Homo sapiens],0,23.877,33,2,10,1,122,13.8,8.44,3254,2,0,0,0.469,-1.09,0.018108832,103.69,3009039.324,831303.0581,57.62,64.86,High,High,Peak Found,High,Peak Found,Peak Found,1,
FALSE,High,Master Protein,XP_011530505.1,PREDICTED: alpha-synuclein isoform X1 [OS=Homo sapiens],0,16.944,30,3,7,3,170,18.4,10.01,2881,3,0,0,0.468,-1.1,0.033494335,107.64,2024006.934,378202.5726,39.7,118.32,Peak Found,High,High,High,Peak Found,Peak Found,1,
FALSE,High,Master Protein,BAD96329.1,"lectin, mannose-binding 2 variant, partial [OS=Homo sapiens]",0,17.656,13,4,6,4,356,40.2,7.08,1988,4,0,0,0.467,-1.1,0.04006163,118.66,1396253.675,748424.6188,118.65,11.66,High,Peak Found,Peak Found,Peak Found,High,Peak Found,1,
FALSE,High,Master Protein,NP_001193725.1,pyruvate kinase PKM isoform c [OS=Homo sapiens],0,755.748,59,49,1634,2,605,65.9,7.87,825438,49,0,0,0.467,-1.1,0.195400096,72.51,869045.5602,660813.1785,89.94,18.45,High,High,Peak Found,Peak Found,Peak Found,Peak Found,1,
FALSE,High,Master Protein,XP_016876857.1,PREDICTED: dehydrogenase/reductase SDR family member 7 isoform X1 [OS=Homo sapiens],0.004,2.163,3,1,1,1,404,45.4,8.94,229,1,0,0,0.466,-1.1,0.006633131,109.33,3682779.63,2460339.798,106.98,55.51,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,1,
FALSE,High,Master Protein,XP_011515977.1,PREDICTED: cyclin-dependent kinase inhibitor 2A isoform X1 [OS=Homo sapiens],0,47.503,43,6,14,6,184,19.8,7.56,6857,6,0,0,0.465,-1.1,4.92986E-05,115.54,12415541.46,5158507.383,24.67,70.06,High,Peak Found,High,High,Peak Found,High,1,
FALSE,Medium,Master Protein,CAA53059.1,unnamed protein product [OS=Homo sapiens],0.017,1.504,2,1,1,1,557,60,6.86,125,1,0,0,0.462,-1.11,0.456703191,124.25,350731.5707,57820.12612,66.7,88.74,Peak Found,High,Not Found,Peak Found,Not Found,Not Found,1,
FALSE,High,Master Protein,AAH05122.1,ADP-ribosylation factor GTPase activating protein 3 [OS=Homo sapiens],0.001,3.087,2,1,1,1,516,57,7.61,219,1,0,0,0.461,-1.12,0.548546471,100.3,65164.78677,32735.86227,130.78,69.95,High,Not Found,Not Found,Not Found,Not Found,Not Found,1,
FALSE,High,Master Protein,BAG61164.1,unnamed protein product [OS=Homo sapiens],0,104.176,32,8,423,5,166,18,10.32,221980,8,0,0,0.459,-1.12,7.87745E-09,86.61,717255162.3,326083060.1,47.31,36.45,High,High,High,High,High,High,1,
FALSE,High,Master Protein,NP_001290385.1,DNA-directed RNA polymerase III subunit RPC3 isoform 2 [OS=Homo sapiens],0,4.696,2,1,6,1,547,62.1,7.12,2496,1,0,0,0.458,-1.13,0.335667582,130.32,498658.581,222509.4866,87.95,40.92,Not Found,High,High,High,High,High,1,
FALSE,High,Master Protein,XP_006721703.1,PREDICTED: synaptonemal complex protein SC65 isoform X1 [OS=Homo sapiens],0.004,2.201,2,1,1,1,531,60.1,7.64,184,1,0,0,0.458,-1.13,0.183528297,100.35,829206.2038,564981.9332,52.22,86.08,High,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,1,
FALSE,High,Master Protein,AAC35881.1,Rab3-GAP regulatory domain [OS=Homo sapiens],0,6.409,1,2,4,2,1393,156,5.66,962,2,0,0,0.455,-1.14,0.14459977,137.19,1148777.886,445920.0146,86.02,73.53,High,Peak Found,Not Found,Not Found,High,Peak Found,1,
FALSE,High,Master Protein,XP_006711367.2,PREDICTED: melanoma inhibitory activity protein 3 isoform X1 [OS=Homo sapiens],0,4.61,1,1,1,1,1955,217.4,4.86,638,1,0,0,0.454,-1.14,0.463239604,46.41,131581.4924,59765.15598,14.64,69.26,High,Peak Found,Peak Found,Not Found,Not Found,Not Found,1,
FALSE,High,Master Protein,NP_005708.1,actin-related protein 2/3 complex subunit 5 isoform 1 [OS=Homo sapiens],0,16.735,21,3,11,3,151,16.3,5.67,3040,3,0,0,0.453,-1.14,0.005812237,123.97,3864394.35,2247499.638,31.44,50.25,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AEP23663.1,ATP synthase F0 subunit 6 (mitochondrion) [OS=Homo sapiens],0.001,2.908,4,1,5,1,226,24.7,10.1,990,1,0,0,0.452,-1.14,0.176110463,33.97,745797.7837,408620.5993,89.83,71.8,Peak Found,High,High,Peak Found,Peak Found,High,1,
FALSE,High,Master Protein,BAH13430.1,unnamed protein product [OS=Homo sapiens],0,77.292,25,5,104,4,238,26.7,5.08,53094,5,0,2,0.452,-1.15,3.2988E-09,93.02,46166633.84,19938138.29,40.8,35.35,High,High,High,High,High,High,1,
FALSE,High,Master Protein,NP_689478.1,Transcription factor BTF3 homolog 4 isoform 1 [OS=Homo sapiens],0,9.174,37,2,3,2,158,17.3,6.35,706,2,0,0,0.45,-1.15,0.01331349,98.4,2508038.549,1235949.533,58.19,85.37,High,Peak Found,High,Peak Found,High,Not Found,1,
FALSE,Medium,Master Protein,CAB93534.2,Protein phosphatase 4 regulatory subunit 2 [OS=Homo sapiens],0.02,1.435,4,1,1,1,495,54.7,4.69,123,1,0,0,0.449,-1.15,0.406659513,91.99,354771.8201,98402.33756,77.34,71.66,Peak Found,Not Found,Peak Found,High,Not Found,Not Found,1,
FALSE,High,Master Protein,NP_112223.1,E3 ubiquitin-protein ligase TRIM56 [OS=Homo sapiens],0,4.307,5,2,2,2,755,81.4,7.74,310,2,0,0,0.448,-1.16,0.002604017,136.11,7441528.705,542774.1707,73.76,139.98,High,Peak Found,Peak Found,High,Not Found,Peak Found,1,
FALSE,High,Master Protein,NP_808210.2,small nuclear ribonucleoprotein Sm D2 isoform 2 [OS=Homo sapiens],0,8.98,26,2,3,2,108,12.4,9.89,678,2,0,0,0.447,-1.16,0.013361311,65.63,4095057.662,722907.9764,56.81,72.34,High,High,Peak Found,Peak Found,Peak Found,Peak Found,1,
FALSE,High,Master Protein,EAX02335.1,"ribonuclease/angiogenin inhibitor 1, isoform CRA_c, partial [OS=Homo sapiens]",0,25.656,13,4,20,4,466,50.3,4.92,9689,4,0,0,0.447,-1.16,0.021989631,124.93,1514277.38,1068546.619,129.41,23.87,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P49750.3,RecName: Full=YLP motif-containing protein 1; AltName: Full=Nuclear protein ZAP3; AltName: Full=ZAP113 [OS=Homo sapiens],0,5.684,1,1,3,1,1951,219.8,6.57,1118,1,0,0,0.446,-1.16,0.506736069,91.16,73124.58422,32636.80273,54.45,113.51,High,High,Peak Found,Peak Found,High,Not Found,1,
FALSE,High,Master Protein,AAH13590.1,"Eukaryotic translation initiation factor 2B, subunit 5 epsilon, 82kDa [OS=Homo sapiens]",0,4.589,2,1,2,1,721,80.3,5.08,439,1,0,0,0.445,-1.17,0.432515666,125.32,98899.74127,44014.4126,154.84,57.13,High,Not Found,Not Found,Not Found,Not Found,Not Found,1,
FALSE,High,Master Protein,NP_006454.1,STAM-binding protein isoform 1 [OS=Homo sapiens],0,4.655,5,1,3,1,424,48,6.29,529,1,0,0,0.445,-1.17,0.453836221,138.96,239498.6902,86375.01577,134.92,157.02,Peak Found,High,Not Found,High,Not Found,Not Found,1,
FALSE,High,Master Protein,NP_001171846.1,ethanolamine-phosphate cytidylyltransferase isoform 1 [OS=Homo sapiens],0,3.761,2,1,1,1,407,45.6,6.73,346,1,0,0,0.444,-1.17,0.421040639,111.71,268612.6692,119328.8428,84.03,18.61,High,Not Found,Peak Found,Not Found,Peak Found,Peak Found,1,
FALSE,High,Master Protein,AAH62716.1,Ribosomal protein L23 [OS=Homo sapiens],0,60.649,34,5,47,5,140,14.9,10.62,20560,5,0,0,0.443,-1.18,1.60449E-09,105.42,29959607.46,9477367.649,18.15,67,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AAA36583.1,Ribosomal protein L10 [OS=Homo sapiens],0,12.692,10,2,9,2,205,23.9,11.52,3816,2,0,0,0.441,-1.18,0.006512724,89.15,3807931.545,1470918.155,118.42,44.4,High,Peak Found,High,High,Peak Found,Peak Found,1,
FALSE,High,Master Protein,AAH66884.1,"Histone cluster 1, H3i [OS=Homo sapiens]",0,93.162,39,6,242,1,136,15.4,11.12,107600,6,0,6,0.44,-1.18,8.25858E-10,81.5,177931197.4,75055059.64,42.58,34.12,High,High,High,High,High,High,1,
FALSE,High,Master Protein,EAW58120.1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1, isoform CRA_a [OS=Homo sapiens]",0,7.943,6,2,2,1,639,71,9.72,685,2,0,0,0.439,-1.19,0.424583753,58.66,97375.80386,56354.74377,84.73,73.68,High,Not Found,Not Found,Not Found,Not Found,Not Found,1,
FALSE,High,Master Protein,AAH09308.1,C16orf58 protein [OS=Homo sapiens],0.004,2.138,2,1,1,1,468,50.9,6.92,159,1,0,0,0.439,-1.19,0.43405905,80.38,137874.3165,107837.7194,71.65,53.21,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,High,1,
FALSE,High,Master Protein,NP_003565.4,vesicle-associated membrane protein-associated protein A isoform 1 [OS=Homo sapiens],0,42.36,23,5,24,4,294,32.6,8.91,8293,5,0,1,0.438,-1.19,0.162815823,126.97,922054.147,592986.8028,150.87,156.91,High,High,Peak Found,High,High,High,1,
FALSE,High,Master Protein,NP_001310552.1,nucleolar GTP-binding protein 2 isoform 2 [OS=Homo sapiens],0,5.247,4,2,2,2,799,91.2,9.25,420,2,0,0,0.438,-1.19,0.057587808,112.76,1552936.466,169437.5778,46.11,134.16,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,1,
FALSE,High,Master Protein,BAD96302.1,"PKCI-1-related HIT protein variant, partial [OS=Homo sapiens]",0,10.4,21,2,6,2,163,17.2,9.48,2245,2,0,0,0.437,-1.19,0.006429691,77.91,3816581.879,1296950.827,20.89,58.55,High,High,High,Peak Found,Peak Found,Peak Found,1,
FALSE,High,Master Protein,AAP68820.1,acidic ribosomal phosphoprotein P1 [OS=Homo sapiens],0,34.896,52,2,43,2,113,11.4,4.36,23853,2,0,0,0.434,-1.2,4.09901E-10,79.47,124439014.7,65406309.91,44.81,24.56,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AAI19733.1,Fkbp1a protein [OS=Homo sapiens],0,4.221,10,1,3,1,145,15.7,9.17,799,1,0,0,0.432,-1.21,0.020199681,103.18,1606033.306,601308.9692,80.81,29.32,High,High,Not Found,Peak Found,Peak Found,Peak Found,1,
FALSE,High,Master Protein,BAG35625.1,unnamed protein product [OS=Homo sapiens],0.001,2.984,2,1,1,1,621,67.6,8.06,288,1,0,0,0.432,-1.21,0.120007611,110.77,1106995.548,477716.7675,59.25,110.02,Peak Found,High,Peak Found,Peak Found,Not Found,Peak Found,1,
FALSE,Medium,Master Protein,AAQ03093.1,SHINC-2 [OS=Homo sapiens],0.02,1.442,1,1,3,1,705,78.5,5.6,555,1,0,0,0.431,-1.21,0.307494,55.84,353117.9137,230539.0635,28.7,68.21,Peak Found,Peak Found,High,Peak Found,High,Peak Found,1,
FALSE,High,Master Protein,EAW61081.1,"peptidylprolyl isomerase A-like, isoform CRA_c [OS=Homo sapiens]",0,176.225,53,12,259,12,232,25.3,8.76,122742,12,0,0,0.43,-1.22,3.84514E-10,116.25,369738163.3,67763535.57,42.07,107.47,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AAC60592.1,"fusion protein, partial [OS=Homo sapiens]",0,11.457,11,1,12,1,104,11.7,8.15,5608,1,0,0,0.43,-1.22,0.003443901,107.83,3998336.022,2030144.714,61.39,10.65,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AAA74235.1,Guanine nucleotide regulatory protein [OS=Homo sapiens],0,4.196,3,1,1,1,377,44,8,458,1,0,0,0.428,-1.22,0.236809184,70.65,564271.9684,241633.4844,10.92,79.97,Peak Found,High,Peak Found,Peak Found,Peak Found,Not Found,1,
FALSE,High,Master Protein,EAW52996.1,"lamin A/C, isoform CRA_a [OS=Homo sapiens]",0,418.533,44,37,724,1,698,78.3,8.9,369897,37,0,0,0.426,-1.23,0.259393917,61.34,538869.0779,229501.7422,113.22,34.58,High,High,High,Peak Found,Peak Found,Peak Found,1,
FALSE,High,Master Protein,NP_001265874.1,lymphokine-activated killer T-cell-originated protein kinase isoform 2 [OS=Homo sapiens],0.003,2.477,3,1,1,1,333,37.2,5.12,181,1,0,0,0.424,-1.24,0.508381687,116.29,45178.68426,22773.46128,164.01,96.22,High,Not Found,Not Found,Not Found,Not Found,Not Found,1,
